"","WBA.Close","XOM.Close","JNJ.Close","JPM.Close","VZ.Close","UTX.Close","INTC.Close","AXP.Close","MMM.Close","MCD.Close","CSCO.Close","PFE.Close","DWDP.Close","V.Close","CVX.Close","CAT.Close","MRK.Close","MSFT.Close","TRV.Close","NKE.Close","KO.Close","PG.Close","WMT.Close","DIS.Close","UNH.Close","GS.Close","AAPL.Close","HD.Close","BA.Close","IBM.Close"
"50",82.57,82.970001,125.400002,85.400002,48.919998,112.239998,35.630001,76.68,189.699997,131.259995,32.619999,33.919998,61.919998,88.68,108.970001,94.860001,63.049999,65.230003,121.459999,55.57,42.939999,90.309998,73.440002,113.040001,165.559998,225.75,141.800003,146.539993,176.050003,170.660004
"51",82.480003,81.690002,124.989998,84.400002,48.619999,112.089996,35.25,75.800003,188.649994,130.759995,32.419998,33.880001,61.060001,88.870003,106.099998,93.099998,62.610001,64.949997,120.529999,55.34,42.790001,90.029999,73.150002,113.199997,164.960007,223.320007,141.050003,145.910004,175.619995,169.529999
"52",83.129997,81.580002,125.720001,85.860001,48.810001,113.269997,35.48,76.669998,190.360001,131.350006,32.610001,34,61.73,89.809998,106.169998,94.139999,62.799999,65.480003,121.919998,56.240002,43.07,90.389999,73.489998,113.779999,167.179993,226.259995,141.830002,147.309998,179.020004,171.100006
"53",82.82,81.050003,121.82,85.160004,49.220001,113.559998,35.77,75.790001,190.220001,132.300003,32.669998,33.84,61.48,89.730003,105.68,94.389999,62.27,65.389999,120.75,56.110001,43.48,90.800003,73.889999,114.190002,168.589996,215.589996,141.199997,147.759995,177.850006,170.050003
"54",83.510002,80.489998,121.370003,84.459999,48.939999,112.919998,35.91,75.550003,189.830002,132.639999,32.650002,33.610001,61.549999,89.75,104.230003,93.470001,62.639999,65.040001,120.400002,55.860001,43.23,89.599998,74.07,113.730003,169.25,214.089996,140.679993,147.220001,178.399994,161.690002
"55",84.139999,81.010002,121.870003,85.550003,48.41,113.940002,36.18,80.019997,191.160004,133.270004,32.830002,33.740002,61.939999,91.150002,104.879997,94.660004,62.549999,65.5,118.879997,56.400002,43.09,89.330002,74.800003,114.790001,171.539993,218.059998,142.440002,148.720001,179.300003,162.300003
"56",84.029999,80.690002,121.760002,84.519997,47.25,114.989998,36.32,79.589996,191.5,133.410004,32.82,33.639999,62.16,91.150002,104.889999,94.32,61.889999,66.400002,119.099998,55.849998,43.07,88.620003,74.940002,114.440002,171.160004,216.860001,142.270004,150,180.380005,160.380005
"57",84.279999,81.110001,122.889999,87.5,47.049999,116.32,36.75,80.449997,194.229996,134.229996,33.279999,33.740002,62.82,91.849998,105.93,96.809998,62.139999,67.529999,120.57,55.470001,43.279999,89.550003,74.779999,113.699997,172.330002,223.220001,143.639999,151.889999,182.059998,160.75
"58",85.919998,81.730003,123.43,88.260002,46.700001,116.870003,36.869999,80.629997,195.130005,141.699997,33.419998,33.759998,64.809998,92.110001,106.730003,104.419998,62.299999,67.919998,121.32,55.450001,43.110001,90,75.050003,115.18,174.039993,226.630005,144.529999,153.029999,183.509995,160.389999
"59",85.919998,81.400002,123.510002,88.43,47.360001,118.199997,36.93,80.519997,195,140.839996,33.400002,33.849998,64.330002,91.82,106.080002,104.660004,62.700001,67.830002,122.010002,55.16,43.240002,87.739998,75.43,115.580002,174.380005,226.199997,143.679993,154.220001,181.710007,160.059998
"60",85.889999,81.260002,123.739998,87.610001,46.669998,118.779999,37.43,80.330002,196.110001,140.869995,33.75,33.860001,63.189999,91.599998,105.470001,102.68,62.580002,68.269997,122.160004,55.470001,43.009998,87.690002,75.440002,115.839996,174.630005,225.809998,143.789993,156.119995,183.220001,160.320007
"61",86.540001,81.650002,123.470001,87,45.91,118.989998,36.150002,79.25,195.830002,139.929993,34.07,33.919998,62.799999,91.220001,106.699997,102.260002,62.330002,68.459999,121.660004,55.41,43.150002,87.330002,75.18,115.599998,174.880005,223.800003,143.649994,156.100006,184.830002,160.289993
"62",86.459999,82.059998,123.339996,87.059998,45.880001,118.919998,36.310001,79.230003,194.809998,141.149994,33.970001,33.779999,62.52,91.260002,105.919998,102,62.380001,69.410004,121.18,54.990002,43.220001,87.089996,75.230003,114.730003,174.589996,224.850006,146.580002,154.210007,182.389999,158.839996
"63",85.809998,82.050003,123.699997,86.5,45.91,119.32,36.970001,79.540001,196.529999,141.229996,34.240002,33.610001,62.52,92.540001,105.360001,101.510002,62.700001,69.300003,120.360001,55.07,43.389999,86.220001,75.519997,114.370003,174.139999,225.119995,147.509995,154.949997,183.440002,159.100006
"64",85.790001,82.699997,123.330002,87,46.150002,120.300003,36.98,78.830002,197.630005,142.619995,34.25,33.470001,61.709999,92.440002,106.720001,101.540001,63.630001,69.080002,120.809998,54.529999,43.32,86.43,75.760002,111.620003,172.539993,226.309998,147.059998,155,183.389999,158.630005
"65",86.050003,81.639999,123.949997,87.099998,45.880001,121,36.849998,78.330002,199.509995,143.449997,34.18,33.450001,61.419998,92.620003,104.809998,99.389999,63.380001,68.809998,120.809998,54.470001,43.66,86.449997,76.339996,111.169998,174.020004,226.589996,146.529999,154.860001,183.070007,159.050003
